threshold,precision,recall,f1,tp,fp,fn,tn,investigation_rate,expected_cost
0.5,0.6949152542372882,0.4270833333333333,0.5290322580645161,41,18,55,1252,0.04319180087847731,144065
0.51,0.7068965517241379,0.4270833333333333,0.5324675324675324,41,17,55,1253,0.0424597364568082,143780
0.52,0.7090909090909091,0.40625,0.5165562913907285,39,16,57,1254,0.04026354319180088,148425
0.53,0.6981132075471698,0.3854166666666667,0.4966442953020134,37,16,59,1254,0.038799414348462666,153355
0.54,0.6981132075471698,0.3854166666666667,0.4966442953020134,37,16,59,1254,0.038799414348462666,153355
0.55,0.7058823529411765,0.375,0.4897959183673469,36,15,60,1255,0.03733528550512445,155535
0.56,0.7,0.3645833333333333,0.4794520547945205,35,15,61,1255,0.036603221083455345,158000
0.57,0.6875,0.34375,0.4583333333333333,33,15,63,1255,0.03513909224011713,162930
0.58,0.6808510638297872,0.3333333333333333,0.44755244755244755,32,15,64,1255,0.034407027818448024,165395
0.59,0.7111111111111111,0.3333333333333333,0.45390070921985815,32,13,64,1257,0.03294289897510981,164825
0.6,0.7272727272727273,0.3333333333333333,0.45714285714285713,32,12,64,1258,0.032210834553440704,164540
0.61,0.7441860465116279,0.3333333333333333,0.460431654676259,32,11,64,1259,0.0314787701317716,164255
0.62,0.7441860465116279,0.3333333333333333,0.460431654676259,32,11,64,1259,0.0314787701317716,164255
0.63,0.7380952380952381,0.3229166666666667,0.4492753623188406,31,11,65,1259,0.03074670571010249,166720
0.64,0.7435897435897436,0.3020833333333333,0.42962962962962964,29,10,67,1260,0.02855051244509517,171365
0.65,0.7837837837837838,0.3020833333333333,0.43609022556390975,29,8,67,1262,0.027086383601756955,170795
0.66,0.7837837837837838,0.3020833333333333,0.43609022556390975,29,8,67,1262,0.027086383601756955,170795
0.67,0.7837837837837838,0.3020833333333333,0.43609022556390975,29,8,67,1262,0.027086383601756955,170795
0.68,0.8055555555555556,0.3020833333333333,0.4393939393939394,29,7,67,1263,0.02635431918008785,170510
0.69,0.8055555555555556,0.3020833333333333,0.4393939393939394,29,7,67,1263,0.02635431918008785,170510
0.7,0.8055555555555556,0.3020833333333333,0.4393939393939394,29,7,67,1263,0.02635431918008785,170510
0.71,0.7941176470588235,0.28125,0.4153846153846154,27,7,69,1263,0.024890190336749635,175440
0.72,0.7941176470588235,0.28125,0.4153846153846154,27,7,69,1263,0.024890190336749635,175440
0.73,0.8125,0.2708333333333333,0.40625,26,6,70,1264,0.02342606149341142,177620
0.74,0.8125,0.2708333333333333,0.40625,26,6,70,1264,0.02342606149341142,177620
0.75,0.8125,0.2708333333333333,0.40625,26,6,70,1264,0.02342606149341142,177620
0.76,0.8275862068965517,0.25,0.384,24,5,72,1265,0.0212298682284041,182265
0.77,0.8148148148148148,0.22916666666666666,0.35772357723577236,22,5,74,1265,0.019765739385065886,187195
0.78,0.8076923076923077,0.21875,0.3442622950819672,21,5,75,1265,0.01903367496339678,189660
0.79,0.8076923076923077,0.21875,0.3442622950819672,21,5,75,1265,0.01903367496339678,189660
0.8,0.7916666666666666,0.19791666666666666,0.31666666666666665,19,5,77,1265,0.017569546120058566,194590
0.81,0.782608695652174,0.1875,0.3025210084033613,18,5,78,1265,0.01683748169838946,197055
0.82,0.7727272727272727,0.17708333333333334,0.288135593220339,17,5,79,1265,0.016105417276720352,199520
0.83,0.7619047619047619,0.16666666666666666,0.27350427350427353,16,5,80,1265,0.015373352855051245,201985
0.84,0.75,0.15625,0.25862068965517243,15,5,81,1265,0.014641288433382138,204450
0.85,0.7777777777777778,0.14583333333333334,0.24561403508771928,14,4,82,1266,0.013177159590043924,206630
0.86,0.7777777777777778,0.14583333333333334,0.24561403508771928,14,4,82,1266,0.013177159590043924,206630
0.87,0.7647058823529411,0.13541666666666666,0.23008849557522124,13,4,83,1266,0.012445095168374817,209095
0.88,0.7647058823529411,0.13541666666666666,0.23008849557522124,13,4,83,1266,0.012445095168374817,209095
0.89,0.75,0.125,0.21428571428571427,12,4,84,1266,0.01171303074670571,211560
0.9,0.8,0.125,0.21621621621621623,12,3,84,1267,0.010980966325036604,211275
0.91,0.7857142857142857,0.11458333333333333,0.2,11,3,85,1267,0.010248901903367497,213740
0.92,0.8181818181818182,0.09375,0.16822429906542055,9,2,87,1268,0.008052708638360176,218385
0.93,0.8181818181818182,0.09375,0.16822429906542055,9,2,87,1268,0.008052708638360176,218385
0.94,0.8,0.041666666666666664,0.07920792079207921,4,1,92,1269,0.0036603221083455345,230425
0.95,0.75,0.03125,0.06,3,1,93,1269,0.0029282576866764276,232890
